0007 0007 0007 0007
0004 0004 0004 0004
0001 0001 0001 0001
0000 0000 0000 0000
0000 0000 0000 0000
0002 0002 0002 0002
0004 0004 0004 0004
0005 0005 0005 0005
0005 0005 0005 0005
0003 0003 0003 0003
0000 0000 0000 0000
FFFF FFFF FFFF FFFF
FFFE FFFE FFFE FFFE
FFFE FFFE FFFE FFFE
FFFF FFFF FFFF FFFF
0000 0000 0000 0000
0002 0002 0002 0002
0001 0001 0001 0001
0000 0000 0000 0000
FFFF FFFF FFFF FFFF
FFFD FFFD FFFD FFFD
FFFC FFFC FFFC FFFC
FFFD FFFD FFFD FFFD
FFFF FFFF FFFF FFFF
0001 0001 0001 0001
0005 0005 0005 0005
0007 0007 0007 0007
0008 0008 0008 0008
0007 0007 0007 0007
0005 0005 0005 0005
0003 0003 0003 0003
0002 0002 0002 0002
0001 0001 0001 0001
0000 0000 0000 0000
0001 0001 0001 0001
0002 0002 0002 0002
0002 0002 0002 0002
0002 0002 0002 0002
0001 0001 0001 0001
0000 0000 0000 0000
FFFF FFFF FFFF FFFF
FFFE FFFE FFFE FFFE
FFFF FFFF FFFF FFFF
0000 0000 0000 0000
0001 0001 0001 0001
0002 0002 0002 0002
0002 0002 0002 0002
0001 0001 0001 0001
0000 0000 0000 0000
FFFD FFFD FFFD FFFD
FFFC FFFC FFFC FFFC
FFFB FFFB FFFB FFFB
FFFC FFFC FFFC FFFC
FFFE FFFE FFFE FFFE
FFFF FFFF FFFF FFFF
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0001 0001 0001 0001
0001 0001 0001 0001
0001 0001 0001 0001
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0001 0001 0001 0001
